perturbation,spearman_rho,target_gene
8214_SNIP1_P1P2_ENSG00000163877,0.3076677401132509,SNIP1
7186_RBMX2_P1P2_ENSG00000134597,0.29984754771658817,RBMX2
2044_DBR1_P1P2_ENSG00000138231,0.29443361969333676,DBR1
8126_SLU7_P1P2_ENSG00000164609,0.29341651274592234,SLU7
8238_SNW1_P1_ENSG00000100603,0.29325665855150324,SNW1
6558_POLR3D_P1P2_ENSG00000168495,0.2910198317742763,POLR3D
7338_RNF113A_P1P2_ENSG00000125352,0.29016325697278766,RNF113A
9473_U2AF1_P1P2_ENSG00000160201,0.28968566748015057,U2AF1
978_C14orf178_P1P2_ENSG00000197734,0.28862752059505564,C14orf178
8332_SPC25_P1P2_ENSG00000152253,0.28816856305009775,SPC25
8621_SYMPK_P1P2_ENSG00000125755,0.28734768877564043,SYMPK
1408_CDC5L_P1P2_ENSG00000096401,0.2847715832936777,CDC5L
2217_DHX8_P1P2_ENSG00000067596,0.28261906729497693,DHX8
8460_SSU72_P1P2_ENSG00000160075,0.28134646724765056,SSU72
2203_DHX15_P1P2_ENSG00000109606,0.2787851126363043,DHX15
4217_ISY1_P1P2_ENSG00000240682,0.2783112045679174,ISY1
1583_CHMP3_P1P2_ENSG00000115561,0.2781621116600888,CHMP3
2291_DNAJC17_P1P2_ENSG00000104129,0.27740293184078674,DNAJC17
5832_NSRP1_P1P2_ENSG00000126653,0.2769619100628316,NSRP1
2204_DHX16_P1P2_ENSG00000204560,0.2726262556642805,DHX16
3501_GPKOW_P1P2_ENSG00000068394,0.2714358908742866,GPKOW
5878_NUF2_P1P2_ENSG00000143228,0.26928482192444825,NUF2
2490_EEF2_P1_ENSG00000167658,0.26764578778572706,EEF2
1971_CWC15_P1P2_ENSG00000150316,0.2661621920420472,CWC15
2112_DDX23_P1P2_ENSG00000174243,0.2658062779177566,DDX23
7475_RPL5_P1P2_ENSG00000122406,0.26576465117441855,RPL5
5768_NPLOC4_P1P2_ENSG00000182446,0.2657574845065077,NPLOC4
937_BUD13_P1P2_ENSG00000137656,0.2643390563088639,BUD13
1148_CACTIN_P1P2_ENSG00000105298,0.2627278563763639,CACTIN
1972_CWC22_P1P2_ENSG00000163510,0.2617666765219925,CWC22
6793_PRPF31_P1P2_ENSG00000105618,0.2610708934150856,PRPF31
6460_PLRG1_P1P2_ENSG00000171566,0.2607058404003195,PLRG1
9837_WDR70_P1P2_ENSG00000082068,0.260604230196178,WDR70
7547_CNOT9_P1P2_ENSG00000144580,0.2588010414585141,CNOT9
655_ATP5F1C_P1P2_ENSG00000165629,0.25839060996364754,ATP5F1C
7691_SCFD1_P1P2_ENSG00000092108,0.2577798919756757,SCFD1
